"Reactome Pathway Term","Adjusted P-value","Size","Leading Edge"
"Selenoamino acid metabolism","7.034e-22","111","AIMP1, DARS1, EEF1E1, EPRS1, HNMT, KARS1, LARS1, NNMT, RARS1, RPL10, RPL10A, RPL11, RPL12, RPL13A, RPL14, RPL15, RPL17, RPL19, RPL21, RPL22, RPL22L1, RPL23, RPL23A, RPL24, RPL26, RPL26L1, RPL27, RPL27A, RPL29, RPL3, RPL30, RPL31, RPL32, RPL34, RPL35, RPL35A, RPL36AL, RPL37, RPL37A, RPL39, RPL4, RPL41, RPL5, RPL6, RPL7, RPL9, RPLP0, RPLP2, RPS10, RPS11, RPS12, RPS13, RPS14, RPS15A, RPS18, RPS19, RPS2, RPS20, RPS21, RPS23, RPS24, RPS25, RPS27, RPS27A, RPS27L, RPS29, RPS3, RPS3A, RPS4X, RPS4Y1, RPS5, RPS6, RPS7, RPSA, UBA52"
"Selenocysteine synthesis","1.933e-21","90","RPL10, RPL10A, RPL11, RPL12, RPL13A, RPL14, RPL15, RPL17, RPL19, RPL21, RPL22, RPL22L1, RPL23, RPL23A, RPL24, RPL26, RPL26L1, RPL27, RPL27A, RPL29, RPL3, RPL30, RPL31, RPL32, RPL34, RPL35, RPL35A, RPL36AL, RPL37, RPL37A, RPL39, RPL4, RPL41, RPL5, RPL6, RPL7, RPL9, RPLP0, RPLP2, RPS10, RPS11, RPS12, RPS13, RPS14, RPS15A, RPS18, RPS19, RPS2, RPS20, RPS21, RPS23, RPS24, RPS25, RPS27, RPS27A, RPS27L, RPS29, RPS3, RPS3A, RPS4X, RPS4Y1, RPS5, RPS6, RPS7, RPSA, UBA52"
"Separation of Sister Chromatids","1.536e-11","178","AHCTF1, BUB3, CDC27, CENPC, CENPE, CENPF, CENPH, CENPI, CENPK, CENPL, CENPQ, CENPU, CLASP2, DSN1, DYNC1I2, ERCC6L, HDAC8, ITGB3BP, KIF18A, KIF2A, KNL1, MAD2L1, NDC80, NSL1, NUF2, NUP107, PDS5A, PPP1CC, PPP2CA, PPP2R1B, PPP2R5A, PPP2R5E, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, PTTG1, RANBP2, RPS27, RPS27A, SEH1L, SEM1, SGO2, SKA2, SMC3, SPC25, SPDL1, STAG1, STAG2, TAOK1, UBA52, UBC, UBE2D1, UBE2E1, XPO1, ZWILCH"
"Signaling by BMP","8.804e-03","21","BMPR1A, BMPR1B, BMPR2, FSTL1, SMAD5, UBE2D1, UBE2D3, ZFYVE16"
"Signaling by GPCR","3.552e-02","286","ABR, ADCY6, ADCY7, ADGRE5, ADM2, AHCYL1, APP, ARHGEF1, ARHGEF10L, ARHGEF11, ARHGEF16, ARHGEF18, ARHGEF2, ARHGEF3, ARHGEF35, ARHGEF5, ARHGEF7, CAMKK2, CCL5, DGKA, DGKZ, ECE1, EGFR, FFAR4, FZD5, GAL, GALR2, GNA11, GNA12, GNB2, GPER1, GPR176, GPR35, GRK2, HCAR1, HEBP1, HRAS, HTR7, IHH, ITGA5, ITPR3, ITSN1, KALRN, KISS1, MAPK3, MAPK7, NGEF, NTSR1, OPN3, PAK1, PDE4A, PDE8A, PLCB3, PLPPR2, PPP1CA, PPP1R1B, PPP2R5D, PRKACA, PSAP, PTHLH, QRFP, RGS11, RGS19, RGS3, RPS6KA1, RRH, RXFP4, S1PR2, SHC1, TIAM1, TIAM2, VAV2, VIPR1, WNT9A"
"Signaling by Hedgehog","2.240e-03","128","CDC73, CUL1, DISP2, DYNC2H1, DZIP1, EFCAB7, ERLEC1, GLI1, GLI3, IFT52, IFT57, IFT88, INTU, ITCH, KIF3A, PRKACB, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMB7, PSMC2, PSMC6, PSMD1, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RBX1, RPGRIP1L, RPS27A, SEM1, SHH, SKP1, SMURF2, SPOPL, TTC21B, TUBB2B, UBA52, UBC, WDR35"
"Signaling by NOTCH4","4.250e-02","77","ADAM10, CUL1, HEY1, HEY2, MAML2, PSENEN, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMB10, PSMB3, PSMB7, PSMC2, PSMC6, PSMD1, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, RBPJ, RBX1, RPS27A, SEM1, SKP1, SNW1, UBA52, UBC, YWHAZ"
"Signaling by ROBO receptors","1.703e-19","195","ABL2, CAP2, CLASP2, CUL2, ELOC, FLRT3, MAGOHB, PPP3CB, PRKACB, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RBX1, RPL10, RPL10A, RPL11, RPL12, RPL13A, RPL14, RPL15, RPL17, RPL19, RPL21, RPL22, RPL22L1, RPL23, RPL23A, RPL24, RPL26, RPL26L1, RPL27, RPL27A, RPL29, RPL3, RPL30, RPL31, RPL32, RPL34, RPL35, RPL35A, RPL36AL, RPL37, RPL37A, RPL39, RPL4, RPL41, RPL5, RPL6, RPL7, RPL9, RPLP0, RPLP2, RPS10, RPS11, RPS12, RPS13, RPS14, RPS15A, RPS18, RPS19, RPS2, RPS20, RPS21, RPS23, RPS24, RPS25, RPS27, RPS27A, RPS27L, RPS29, RPS3, RPS3A, RPS4X, RPS4Y1, RPS5, RPS6, RPS7, RPSA, SEM1, SOS1, UBA52, UBC, UPF3B, USP33"
"Signaling by Receptor Tyrosine Kinases","4.151e-02","398","ACTB, AHCYL1, ARC, AREG, ARHGEF7, ATP6AP1, ATP6V0A2, ATP6V0A4, ATP6V0D1, BAIAP2, COL4A2, COL4A4, COL6A1, CRKL, CTNNA1, CYFIP2, DNM2, DOCK3, EGFR, EGR2, EGR4, ELMO2, EP300, EPN1, EPS15L1, ERBB2, ERBB3, ESRP2, FGF19, FGF9, FGFR3, FGFRL1, FOS, FURIN, GAB2, GRB7, HGS, HRAS, IGF1R, INSR, ITGA2, ITGA3, ITPR3, JUP, LAMA2, LAMA3, LAMA5, LAMB2, LAMB3, LAMC2, LCK, LRIG1, LYN, MAP2K5, MAPK3, MAPK7, MEF2A, MLST8, MST1R, MTOR, MYC, NCF2, NCK2, NCSTN, NRG4, PAK1, PGF, PLAT, POLR2A, PPP2R5D, PRDM1, PRKACA, PSEN2, PTK2B, PTK6, PTPN3, PTPRS, PTPRU, PXN, RALGDS, RANBP10, RANBP9, RPS6KA1, RPS6KA5, SH3GL1, SHB, SHC1, SHC3, SIN3A, SPINT1, STAT3, STAT5A, STUB1, TCIRG1, TGFA, THBS3, TIAM1, TNS3, TNS4, VAV2, VEGFA"
"Signaling by the B Cell Receptor (BCR)","4.102e-02","102","CALM2, CUL1, DAPP1, KRAS, MAP3K7, NCK1, NRAS, PPIA, PPP3CB, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMB7, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RPS27A, SEM1, SKP1, SOS1, UBA52, UBC"
"Stabilization of p53","8.288e-05","55","ATM, COP1, PHF20, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RPS27A, SEM1, UBA52, UBC"
"Switching of origins to a post-replicative state","1.403e-05","89","CCNA2, CCNE2, CDC27, GMNN, MCM6, ORC3, ORC4, ORC5, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RBX1, RPS27A, SEM1, SKP1, SKP2, UBA52, UBC, UBE2D1"
"Synthesis of DNA","8.755e-06","118","CCNA2, CCNE2, CDC27, DNA2, GMNN, MCM6, ORC3, ORC4, ORC5, PRIM1, PRIM2, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RBX1, RFC3, RPA3, RPS27A, SEM1, SKP1, SKP2, UBA52, UBC, UBE2D1"
"Synthesis of active ubiquitin: roles of E1 and E2 enzymes","1.504e-02","30","RPS27A, UBA52, UBA6, UBC, UBE2D1, UBE2D2, UBE2E1, UBE2G1, UBE2K, UBE2T, UBE2W, USP9X"
"TCR signaling","1.631e-03","88","CUL1, MAP3K7, NCK1, PIK3CA, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMB7, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, PTEN, PTPN22, RIPK2, RPS27A, SEM1, SKP1, UBA52, UBC, UBE2D1, UBE2D2, UBE2N"
"TNFR2 non-canonical NF-kB pathway","1.029e-02","75","BIRC2, BIRC3, MAP3K14, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RPS27A, SEM1, SKP1, UBA3, UBA52, UBC"
"The citric acid (TCA) cycle and respiratory electron transport","1.022e-07","169","ATP5F1B, ATP5F1C, ATP5F1E, ATP5MC1, ATP5MC2, ATP5MC3, ATP5ME, ATP5MG, ATP5PB, ATP5PD, ATP5PF, ATP5PO, COA1, COX1, COX11, COX14, COX16, COX2, COX20, COX3, COX5B, COX6B1, COX6C, COX7A2L, COX7B, COX7C, CYCS, DLD, ETFA, GLO1, GSTZ1, LDHA, LDHB, LRPPRC, MPC2, ND4, NDUFA1, NDUFA13, NDUFA4, NDUFA5, NDUFA8, NDUFA9, NDUFAF1, NDUFAF2, NDUFAF4, NDUFAF5, NDUFAF6, NDUFAF7, NDUFB1, NDUFB2, NDUFB3, NDUFB5, NDUFB6, NDUFC1, NDUFC2, NDUFS3, NDUFS4, NDUFS5, NDUFS6, NUBPL, PDK3, PDP1, SCO1, SDHB, SDHD, SLC16A1, SLC25A27, SUCLA2, SUCLG1, SUCLG2, TACO1, TMEM126B, UQCR10, UQCR11, UQCRB, UQCRC2, UQCRFS1, UQCRH, UQCRQ"
"The role of GTSE1 in G2/M progression after G2 checkpoint","1.118e-03","68","CCNB2, CDK1, HSP90AA1, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RPS27A, SEM1, UBA52, UBC"
"Transcription-Coupled Nucleotide Excision Repair (TC-NER)","4.462e-02","77","AQR, CCNH, CDK7, COPS2, COPS4, COPS5, COPS8, CUL4B, ERCC4, ERCC8, GTF2H5, HMGN1, ISY1, MNAT1, POLR2B, POLR2H, POLR2K, RBX1, RFC3, RPA3, RPS27A, TCEA1, UBA52, UBC"
"Transcriptional Regulation by E2F6","3.097e-02","34","APAF1, BMI1, BRCA1, CBX3, CDC7, CHEK1, EED, EZH2, PCGF6, RBBP8, RNF2, RYBP, SUZ12, TFDP2, YAF2"
"Transcriptional activation of mitochondrial biogenesis","3.148e-02","56","CALM2, CHD9, CYCS, GABPA, MEF2C, MTERF1, SOD2, SSBP1, TBL1XR1, TFAM, TFB2M"
"Transcriptional regulation by RUNX2","1.077e-02","105","CDK1, GLI3, NR3C1, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RB1, RBX1, RPS27A, SEM1, SKP1, SKP2, STAT1, UBA52, UBC, WWP1, YES1"
"Translation","7.195e-24","284","AIMP1, CHCHD1, DARS1, DARS2, EEF1A1, EEF1B2, EEF1D, EEF1E1, EIF1AX, EIF2B3, EIF2S2, EIF3E, EIF3H, EIF3J, EIF3M, EIF4A2, EIF4B, EIF4E, EPRS1, GFM1, GFM2, KARS1, LARS1, MRPL1, MRPL13, MRPL14, MRPL15, MRPL17, MRPL19, MRPL20, MRPL21, MRPL23, MRPL3, MRPL30, MRPL32, MRPL33, MRPL35, MRPL39, MRPL40, MRPL42, MRPL46, MRPL47, MRPL48, MRPL50, MRPL51, MRPL58, MRPS10, MRPS12, MRPS14, MRPS15, MRPS21, MRPS23, MRPS28, MRPS30, MRPS35, MRPS36, MRPS7, MRRF, MTIF2, NARS1, NARS2, PPA1, PPA2, RARS1, RARS2, RPL10, RPL10A, RPL11, RPL12, RPL13A, RPL14, RPL15, RPL17, RPL19, RPL21, RPL22, RPL22L1, RPL23, RPL23A, RPL24, RPL26, RPL26L1, RPL27, RPL27A, RPL29, RPL3, RPL30, RPL31, RPL32, RPL34, RPL35, RPL35A, RPL36AL, RPL37, RPL37A, RPL39, RPL39L, RPL4, RPL41, RPL5, RPL6, RPL7, RPL9, RPLP0, RPLP1, RPLP2, RPN1, RPS10, RPS11, RPS12, RPS13, RPS14, RPS15A, RPS18, RPS19, RPS2, RPS20, RPS21, RPS23, RPS24, RPS25, RPS27, RPS27A, RPS27L, RPS29, RPS3, RPS3A, RPS4X, RPS4Y1, RPS5, RPS6, RPS7, RPS8, RPSA, SEC11A, SEC11C, SEC61G, SPCS3, SRP14, SRP54, SRP72, SRP9, SSR1, SSR3, TARS1, TRAM1, TSFM, UBA52, YARS2"
"Translation initiation complex formation","1.740e-08","57","EIF1AX, EIF2S2, EIF3E, EIF3H, EIF3J, EIF3M, EIF4A2, EIF4E, RPS11, RPS12, RPS13, RPS14, RPS15A, RPS18, RPS19, RPS2, RPS20, RPS21, RPS23, RPS24, RPS25, RPS27A, RPS27L, RPS29, RPS3, RPS3A, RPS4X, RPS4Y1, RPS5, RPS6, RPS7, RPSA"
"UCH proteinases","1.201e-02","87","INO80D, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RPS27A, SEM1, TGFBR1, UBA52, UBC, UCHL5, USP15, YY1"
"Ub-specific processing proteases","5.031e-03","169","BIRC2, BIRC3, CCNA2, CCP110, H2AC6, IFIH1, MAP3K7, MAT2B, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMB7, PSMC2, PSMC6, PSMD1, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, PTEN, PTRH2, RHOT1, RNF128, RPS27A, SEM1, SKP2, SMURF2, SNX3, TAF9B, TGFBR1, TNKS, TNKS2, TOMM20, TOMM70, UBA52, UBC, USP12, USP13, USP14, USP15, USP16, USP33, USP34, USP37, USP44, USP47, USP49, USP8, USP9X, VDAC2, VDAC3"
"Ubiquitin Mediated Degradation of Phosphorylated Cdc25A","9.630e-05","50","CHEK1, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RPS27A, SEM1, UBA52, UBC"
"Ubiquitin-dependent degradation of Cyclin D","1.596e-04","50","PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RPS27A, SEM1, UBA52, UBC"
"Vif-mediated degradation of APOBEC3G","3.160e-05","51","CUL5, ELOC, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RBX1, RPS27A, SEM1, UBA52, UBC"
"Viral mRNA Translation","4.214e-21","86","DNAJC3, RPL10, RPL10A, RPL11, RPL12, RPL13A, RPL14, RPL15, RPL17, RPL19, RPL21, RPL22, RPL22L1, RPL23, RPL23A, RPL24, RPL26, RPL26L1, RPL27, RPL27A, RPL29, RPL3, RPL30, RPL31, RPL32, RPL34, RPL35, RPL35A, RPL36AL, RPL37, RPL37A, RPL39, RPL4, RPL41, RPL5, RPL6, RPL7, RPL9, RPLP0, RPLP2, RPS10, RPS11, RPS12, RPS13, RPS14, RPS15A, RPS18, RPS19, RPS2, RPS20, RPS21, RPS23, RPS24, RPS25, RPS27, RPS27A, RPS27L, RPS29, RPS3, RPS3A, RPS4X, RPS4Y1, RPS5, RPS6, RPS7, RPSA, UBA52"
"Vpu mediated degradation of CD4","7.783e-05","49","PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RPS27A, SEM1, SKP1, UBA52, UBC"
"mRNA Splicing","3.259e-03","188","AQR, BCAS2, CCAR1, CD2BP2, CDC40, CDC5L, CPSF2, CRNKL1, CSTF2, CSTF3, CWC15, CWC22, CWC27, DHX15, DNAJC8, FIP1L1, GCFC2, GTF2F2, HNRNPA1, HNRNPA3, HNRNPC, HNRNPH2, HNRNPR, HSPA8, ISY1, LSM3, LSM4, LSM5, LSM6, LSM8, MAGOH, MAGOHB, MTREX, NCBP1, NCBP2, NUDT21, PAPOLA, PHF5A, PLRG1, POLR2B, POLR2H, POLR2K, PPIH, PPIL1, PPIL3, PPIL4, PPIL6, PPWD1, PRPF40A, RBM17, SF3B1, SF3B5, SF3B6, SLU7, SNRNP27, SNRNP40, SNRNP48, SNRPB2, SNRPD1, SNRPD2, SNRPD3, SNRPE, SNRPF, SNRPG, SNW1, SRSF1, SRSF10, SRSF3, SRSF7, SYF2, TRA2B, U2SURP, UPF3B, WBP4, WDR33, YBX1, ZMAT5"
"mRNA Splicing - Major Pathway","1.631e-03","180","AQR, BCAS2, CCAR1, CD2BP2, CDC40, CDC5L, CPSF2, CRNKL1, CSTF2, CSTF3, CWC15, CWC22, CWC27, DHX15, DNAJC8, FIP1L1, GCFC2, GTF2F2, HNRNPA1, HNRNPA3, HNRNPC, HNRNPH2, HNRNPR, HSPA8, ISY1, LSM3, LSM4, LSM5, LSM6, LSM8, MAGOH, MAGOHB, MTREX, NCBP1, NCBP2, NUDT21, PAPOLA, PHF5A, PLRG1, POLR2B, POLR2H, POLR2K, PPIH, PPIL1, PPIL3, PPIL4, PPIL6, PPWD1, PRPF40A, RBM17, SF3B1, SF3B5, SF3B6, SLU7, SNRNP27, SNRNP40, SNRPB2, SNRPD1, SNRPD2, SNRPD3, SNRPE, SNRPF, SNRPG, SNW1, SRSF1, SRSF10, SRSF3, SRSF7, SYF2, TRA2B, U2SURP, UPF3B, WBP4, WDR33, YBX1"
"p53-Dependent G1 DNA Damage Response","2.280e-04","63","ATM, CCNA2, CCNE2, COP1, PHF20, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RPS27A, SEM1, UBA52, UBC"
"p53-Dependent G1/S DNA damage checkpoint","2.280e-04","63","ATM, CCNA2, CCNE2, COP1, PHF20, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RPS27A, SEM1, UBA52, UBC"
"p53-Independent DNA Damage Response","9.630e-05","50","CHEK1, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RPS27A, SEM1, UBA52, UBC"
"p53-Independent G1/S DNA damage checkpoint","9.630e-05","50","CHEK1, PSMA1, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMC2, PSMC6, PSMD10, PSMD12, PSMD13, PSMD14, PSMD5, PSMD6, PSMD7, PSME2, PSME4, RPS27A, SEM1, UBA52, UBC"
"rRNA modification in the nucleus and cytosol","8.993e-06","58","DCAF13, EMG1, FCF1, HEATR1, KRR1, MPHOSPH10, NOL11, NOP10, NOP58, PNO1, RPS14, RPS2, RPS6, RPS7, THUMPD1, UTP14A, UTP15, UTP18, UTP20, UTP3, UTP6, WDR3, WDR36, WDR43, WDR75"
"rRNA processing","2.411e-24","195","C1D, DCAF13, DDX52, DIS3, EMG1, ERI1, EXOSC3, EXOSC5, EXOSC9, FCF1, GNL3, HEATR1, KRR1, LAS1L, LTV1, MPHOSPH10, MPHOSPH6, MTREX, NCL, NIP7, NOL11, NOP10, NOP58, PNO1, PRORP, RBM28, RIOK2, RPL10, RPL10A, RPL11, RPL12, RPL13A, RPL14, RPL15, RPL17, RPL19, RPL21, RPL22, RPL22L1, RPL23, RPL23A, RPL24, RPL26, RPL26L1, RPL27, RPL27A, RPL29, RPL3, RPL30, RPL31, RPL32, RPL34, RPL35, RPL35A, RPL36AL, RPL37, RPL37A, RPL39, RPL39L, RPL4, RPL41, RPL5, RPL6, RPL7, RPL9, RPLP0, RPLP1, RPLP2, RPP14, RPP30, RPP40, RPS10, RPS11, RPS12, RPS13, RPS14, RPS15A, RPS18, RPS19, RPS2, RPS20, RPS21, RPS23, RPS24, RPS25, RPS27, RPS27A, RPS27L, RPS29, RPS3, RPS3A, RPS4X, RPS4Y1, RPS5, RPS6, RPS7, RPS8, RPSA, THUMPD1, TRMT10C, UBA52, UTP14A, UTP15, UTP18, UTP20, UTP3, UTP6, WDR12, WDR3, WDR36, WDR43, WDR75"
"rRNA processing in the nucleus and cytosol","4.561e-25","186","C1D, DCAF13, DDX21, DDX52, DIS3, EMG1, ERI1, EXOSC3, EXOSC5, EXOSC9, FCF1, GNL3, HEATR1, KRR1, LAS1L, LTV1, MPHOSPH10, MPHOSPH6, MTREX, NCL, NIP7, NOL11, NOP10, NOP58, PNO1, RBM28, RIOK2, RPL10, RPL10A, RPL11, RPL12, RPL13A, RPL14, RPL15, RPL17, RPL19, RPL21, RPL22, RPL22L1, RPL23, RPL23A, RPL24, RPL26, RPL26L1, RPL27, RPL27A, RPL29, RPL3, RPL30, RPL31, RPL32, RPL34, RPL35, RPL35A, RPL36AL, RPL37, RPL37A, RPL39, RPL39L, RPL4, RPL41, RPL5, RPL6, RPL7, RPL9, RPLP0, RPLP1, RPLP2, RPP14, RPP30, RPP40, RPS10, RPS11, RPS12, RPS13, RPS14, RPS15A, RPS18, RPS19, RPS2, RPS20, RPS21, RPS23, RPS24, RPS25, RPS27, RPS27A, RPS27L, RPS29, RPS3, RPS3A, RPS4X, RPS4Y1, RPS5, RPS6, RPS7, RPS8, RPSA, THUMPD1, UBA52, UTP14A, UTP15, UTP18, UTP20, UTP3, UTP6, WDR12, WDR3, WDR36, WDR43, WDR75"
"snRNP Assembly","1.248e-02","52","CLNS1A, DDX20, GEMIN2, NCBP1, NCBP2, NDC1, NUP107, NUP155, NUP35, NUP54, NUP58, NUP88, PHAX, RANBP2, SEH1L, SNRPD1, SNRPD2, SNRPD3, SNRPE, SNRPF, SNRPG, TGS1, TPR"
"tRNA processing","1.912e-03","105","ADAT2, ALKBH8, C2orf49, CDKAL1, CSTF2, DDX1, EPRS1, FAM98B, NDC1, NUP107, NUP155, NUP35, NUP54, NUP58, NUP88, POP4, POP5, PRORP, RAN, RANBP2, RPP14, RPP30, RPP40, RTRAF, SEH1L, TPR, TPRKB, TRIT1, TRMT10A, TRMT10C, TRMT11, TRMT44, TRMT5, TRMT6, TRMT61B, TRNT1, TSEN15, TYW3, TYW5, XPOT"
"tRNA processing in the nucleus","3.390e-02","56","C2orf49, CSTF2, DDX1, FAM98B, NDC1, NUP107, NUP155, NUP35, NUP54, NUP58, NUP88, POP4, POP5, RAN, RANBP2, RPP14, RPP30, RPP40, RTRAF, SEH1L, TPR, TRNT1, TSEN15, XPOT"
