"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"edgeR","edgeR","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","3.38.4",NA,"R (>= 3.6.0), limma (>= 3.41.5)","methods, graphics, stats, utils, locfit, Rcpp","Rcpp","jsonlite, readr, rhdf5, splines, Biobase, AnnotationDbi,
SummarizedExperiment, org.Hs.eg.db",NA,"GPL (>=2)",NA,NA,NA,NA,"yes","4.2.0"
"EnhancedVolcano","EnhancedVolcano","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.14.0",NA,"ggplot2, ggrepel","methods",NA,"ggalt, ggrastr, RUnit, BiocGenerics, knitr, DESeq2, pasilla,
airway, org.Hs.eg.db, gridExtra, magrittr, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"enrichplot","enrichplot","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.16.2",NA,"R (>= 3.5.0)","aplot, DOSE (>= 3.16.0), ggplot2, ggraph, graphics, grid,
igraph, methods, plyr, purrr, RColorBrewer, reshape2, stats,
utils, scatterpie, shadowtext, GOSemSim, magrittr, ggtree,
yulab.utils (>= 0.0.4)",NA,"clusterProfiler, dplyr, europepmc, ggupset, knitr, rmarkdown,
org.Hs.eg.db, prettydoc, tibble, tidyr, ggforce, AnnotationDbi,
ggplotify, ggridges, grDevices, gridExtra, ggnewscale, ggrepel
(>= 0.9.0), ggstar, treeio, scales, tidytree, rlang,
ggtreeExtra, tidydr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.0"
"ensembldb","ensembldb","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","2.20.2",NA,"R (>= 3.5.0), BiocGenerics (>= 0.15.10), GenomicRanges (>=
1.31.18), GenomicFeatures (>= 1.29.10), AnnotationFilter (>=
1.5.2)","methods, RSQLite (>= 1.1), DBI, Biobase, GenomeInfoDb,
AnnotationDbi (>= 1.31.19), rtracklayer, S4Vectors (>=
0.23.10), Rsamtools, IRanges (>= 2.13.24), ProtGenerics,
Biostrings (>= 2.47.9), curl",NA,"BiocStyle, knitr, EnsDb.Hsapiens.v86 (>= 0.99.8), testthat,
BSgenome.Hsapiens.NCBI.GRCh38, ggbio (>= 1.24.0), Gviz (>=
1.20.0), magrittr, rmarkdown, AnnotationHub","RMariaDB, shiny","LGPL",NA,NA,NA,NA,"no","4.2.0"
"evaluate","evaluate","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","0.18",NA,"R (>= 3.0.2)","methods",NA,"covr, ggplot2, lattice, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"ExperimentHub","ExperimentHub","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","2.4.0",NA,"methods, BiocGenerics (>= 0.15.10), AnnotationHub (>= 3.3.6),
BiocFileCache (>= 1.5.1)","utils, S4Vectors, BiocManager, curl, rappdirs",NA,"knitr, BiocStyle, rmarkdown, HubPub","ExperimentHubData","Artistic-2.0",NA,NA,NA,NA,"no","4.2.0"
"fastDummies","fastDummies","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.7.3",NA,"R (>= 2.10)","data.table, tibble, stringr",NA,"testthat (>= 2.1.0), knitr, rmarkdown, covr, spelling",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"fastmap","fastmap","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.1.0",NA,NA,NA,NA,"testthat (>= 2.1.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"fgsea","fgsea","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.22.0",NA,"R (>= 3.3)","Rcpp, data.table, BiocParallel, stats, ggplot2 (>= 2.2.0),
gridExtra, grid, fastmatch, Matrix, utils","Rcpp, BH","testthat, knitr, rmarkdown, reactome.db, AnnotationDbi,
parallel, org.Mm.eg.db, limma, GEOquery",NA,"MIT + file LICENCE",NA,NA,NA,NA,"yes","4.2.0"
"fields","fields","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","14.1",NA,"R (>= 3.5.0), methods, spam, viridis","maps",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"filelock","filelock","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.0.2",NA,NA,NA,NA,"callr (>= 2.0.0), covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"FNN","FNN","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.1.3.1",NA,"R (>= 3.0.0)",NA,NA,"chemometrics, mvtnorm",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"forcats","forcats","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","0.5.2",NA,"R (>= 3.4)","cli, ellipsis, glue, lifecycle, magrittr, rlang (>= 1.0.0),
tibble, withr",NA,"covr, dplyr, ggplot2, knitr, readr, rmarkdown, testthat (>=
3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"formatR","formatR","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.12",NA,"R (>= 3.2.3)",NA,NA,"rstudioapi, shiny, testit, rmarkdown, knitr",NA,"GPL",NA,NA,NA,NA,"no","4.2.0"
"Formula","Formula","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.2-4",NA,"R (>= 2.0.0), stats",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.2.0"
"formula.tools","formula.tools","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.7.1",NA,"R (>= 3.0.0)","operator.tools(>= 1.4.0), utils, methods",NA,"magrittr, testthat",NA,"GPL-2 | file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"fs","fs","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.5.2",NA,"R (>= 3.1)","methods",NA,"testthat, covr, pillar (>= 1.0.0), tibble (>= 1.1.0), crayon,
rmarkdown, knitr, withr, spelling, vctrs (>= 0.3.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"furrr","furrr","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","0.3.1",NA,"future (>= 1.25.0), R (>= 3.4.0)","globals (>= 0.14.0), lifecycle (>= 1.0.1), purrr (>= 0.3.4),
rlang (>= 1.0.2), vctrs (>= 0.4.1)",NA,"carrier, covr, dplyr (>= 0.7.4), knitr, listenv (>= 0.6.0),
magrittr, rmarkdown, testthat (>= 3.0.0), tidyselect, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"futile.logger","futile.logger","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.4.3",NA,"R (>= 3.0.0)","utils, lambda.r (>= 1.1.0), futile.options",NA,"testthat, jsonlite",NA,"LGPL-3",NA,NA,NA,NA,"no","4.2.0"
"futile.options","futile.options","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.0.1",NA,"R (>= 2.8.0)",NA,NA,NA,NA,"LGPL-3",NA,NA,NA,NA,"no","4.2.0"
"future","future","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.29.0",NA,NA,"digest, globals (>= 0.16.1), listenv (>= 0.8.0), parallel,
parallelly (>= 1.32.1), tools, utils",NA,"methods, RhpcBLASctl, R.rsp, markdown",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.2.0"
"gargle","gargle","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.2.1",NA,"R (>= 3.5)","cli (>= 3.0.0), fs (>= 1.3.1), glue (>= 1.3.0), httr (>=
1.4.0), jsonlite, rappdirs, rlang (>= 1.0.0), rstudioapi,
stats, utils, withr",NA,"aws.ec2metadata, aws.signature, covr, httpuv, knitr, mockr,
rmarkdown, sodium, spelling, testthat (>= 3.1.2)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"genefilter","genefilter","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.78.0",NA,NA,"BiocGenerics, AnnotationDbi, annotate, Biobase, graphics,
methods, stats, survival, grDevices",NA,"class, hgu95av2.db, tkWidgets, ALL, ROC, RColorBrewer,
BiocStyle, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.2.0"
"geneLenDataBase","geneLenDataBase","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.32.0",NA,"R (>= 2.11.0)","utils, rtracklayer, GenomicFeatures (>= 1.3.15)",NA,NA,NA,"LGPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"geneplotter","geneplotter","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.74.0",NA,"R (>= 2.10), methods, Biobase, BiocGenerics, lattice, annotate","AnnotationDbi, graphics, grDevices, grid, RColorBrewer, stats,
utils",NA,"Rgraphviz, fibroEset, hgu95av2.db, hu6800.db, hgu133a.db",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.0"
"generics","generics","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","0.1.3",NA,"R (>= 3.2)","methods",NA,"covr, pkgload, testthat (>= 3.0.0), tibble, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"GenomeInfoDb","GenomeInfoDb","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.32.4",NA,"R (>= 4.0.0), methods, BiocGenerics (>= 0.37.0), S4Vectors (>=
0.25.12), IRanges (>= 2.13.12)","stats, stats4, utils, RCurl, GenomeInfoDbData",NA,"GenomicRanges, Rsamtools, GenomicAlignments, GenomicFeatures,
TxDb.Dmelanogaster.UCSC.dm3.ensGene, BSgenome,
BSgenome.Scerevisiae.UCSC.sacCer2, BSgenome.Celegans.UCSC.ce2,
BSgenome.Hsapiens.NCBI.GRCh38, RUnit, BiocStyle, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.0"
"GenomeInfoDbData","GenomeInfoDbData","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.2.8",NA,"R (>= 3.5.0)",NA,NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.0"
"GenomicAlignments","GenomicAlignments","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.32.1",NA,"R (>= 4.0.0), methods, BiocGenerics (>= 0.37.0), S4Vectors (>=
0.27.12), IRanges (>= 2.23.9), GenomeInfoDb (>= 1.13.1),
GenomicRanges (>= 1.41.5), SummarizedExperiment (>= 1.9.13),
Biostrings (>= 2.55.7), Rsamtools (>= 1.31.2)","methods, utils, stats, BiocGenerics, S4Vectors, IRanges,
GenomicRanges, Biostrings, Rsamtools, BiocParallel","S4Vectors, IRanges","ShortRead, rtracklayer, BSgenome, GenomicFeatures,
RNAseqData.HNRNPC.bam.chr14, pasillaBamSubset,
TxDb.Hsapiens.UCSC.hg19.knownGene,
TxDb.Dmelanogaster.UCSC.dm3.ensGene,
BSgenome.Dmelanogaster.UCSC.dm3, BSgenome.Hsapiens.UCSC.hg19,
DESeq2, edgeR, RUnit, BiocStyle",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.2.0"
"GenomicFeatures","GenomicFeatures","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.48.4",NA,"R (>= 3.5.0), BiocGenerics (>= 0.1.0), S4Vectors (>= 0.17.29),
IRanges (>= 2.13.23), GenomeInfoDb (>= 1.25.7), GenomicRanges
(>= 1.31.17), AnnotationDbi (>= 1.41.4)","methods, utils, stats, tools, DBI, RSQLite (>= 2.0), RCurl,
XVector (>= 0.19.7), Biostrings (>= 2.47.6), BiocIO,
rtracklayer (>= 1.51.5), biomaRt (>= 2.17.1), Biobase (>=
2.15.1)",NA,"RMariaDB, org.Mm.eg.db, org.Hs.eg.db, BSgenome,
BSgenome.Hsapiens.UCSC.hg19 (>= 1.3.17),
BSgenome.Celegans.UCSC.ce11, BSgenome.Dmelanogaster.UCSC.dm3
(>= 1.3.17), mirbase.db, FDb.UCSC.tRNAs,
TxDb.Hsapiens.UCSC.hg19.knownGene,
TxDb.Celegans.UCSC.ce11.ensGene,
TxDb.Dmelanogaster.UCSC.dm3.ensGene (>= 2.7.1),
TxDb.Mmusculus.UCSC.mm10.knownGene (>= 3.4.7),
TxDb.Hsapiens.UCSC.hg19.lincRNAsTranscripts,
TxDb.Hsapiens.UCSC.hg38.knownGene (>= 3.4.6),
SNPlocs.Hsapiens.dbSNP144.GRCh38, Rsamtools, pasillaBamSubset
(>= 0.0.5), GenomicAlignments (>= 1.15.7), ensembldb,
AnnotationFilter, RUnit, BiocStyle, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.0"
"GenomicRanges","GenomicRanges","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.48.0",NA,"R (>= 4.0.0), methods, stats4, BiocGenerics (>= 0.37.0),
S4Vectors (>= 0.27.12), IRanges (>= 2.23.9), GenomeInfoDb (>=
1.15.2)","utils, stats, XVector (>= 0.29.2)","S4Vectors, IRanges","Matrix, Biobase, AnnotationDbi, annotate, Biostrings (>=
2.25.3), SummarizedExperiment (>= 0.1.5), Rsamtools (>=
1.13.53), GenomicAlignments, rtracklayer, BSgenome,
GenomicFeatures, Gviz, VariantAnnotation, AnnotationHub,
DESeq2, DEXSeq, edgeR, KEGGgraph, RNAseqData.HNRNPC.bam.chr14,
pasillaBamSubset, KEGGREST, hgu95av2.db, hgu95av2probe,
BSgenome.Scerevisiae.UCSC.sacCer2, BSgenome.Hsapiens.UCSC.hg19,
BSgenome.Mmusculus.UCSC.mm10,
TxDb.Athaliana.BioMart.plantsmart22,
TxDb.Dmelanogaster.UCSC.dm3.ensGene,
TxDb.Hsapiens.UCSC.hg19.knownGene,
TxDb.Mmusculus.UCSC.mm10.knownGene, RUnit, digest, knitr,
rmarkdown, BiocStyle",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.2.0"
"geojsonsf","geojsonsf","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","2.0.3",NA,"R (>= 3.3.0)","Rcpp","geometries, jsonify (>= 1.1.1), rapidjsonr (>= 1.2.0), Rcpp,
sfheaders (>= 0.2.2)","covr, jsonify, knitr, rmarkdown, tinytest",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"geometries","geometries","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","0.2.0",NA,NA,"Rcpp","Rcpp","covr, knitr, rmarkdown, tinytest",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"GEOquery","GEOquery","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","2.64.2",NA,"methods, Biobase","readr (>= 1.3.1), xml2, dplyr, data.table, tidyr, magrittr,
limma, curl, R.utils",NA,"knitr, rmarkdown, BiocGenerics, testthat, covr, markdown",NA,"MIT",NA,NA,NA,NA,"no","4.2.0"
"GGally","GGally","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","2.1.2",NA,"R (>= 3.1), ggplot2 (>= 3.3.4)","dplyr (>= 1.0.0), forcats, grDevices, grid, gtable (>= 0.2.0),
lifecycle, plyr (>= 1.8.3), progress, RColorBrewer, reshape (>=
0.8.5), rlang, scales (>= 1.1.0), tidyr, utils",NA,"broom (>= 0.7.0), broom.helpers (>= 1.1.0), chemometrics,
geosphere (>= 1.5-1), ggforce, Hmisc, igraph (>= 1.0.1),
intergraph (>= 2.0-2), labelled, maps (>= 3.1.0), mapproj,
nnet, network (>= 1.17.1), scagnostics, sna (>= 2.3-2),
survival, rmarkdown, roxygen2, testthat, crosstalk, knitr,
spelling, emmeans",NA,"GPL (>= 2.0)",NA,NA,NA,NA,"no","4.2.0"
"ggbio","ggbio","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.44.1",NA,"methods, BiocGenerics, ggplot2 (>= 1.0.0)","grid, grDevices, graphics, stats, utils, gridExtra, scales,
reshape2, gtable, Hmisc, biovizBase (>= 1.29.2), Biobase,
S4Vectors (>= 0.13.13), IRanges (>= 2.11.16), GenomeInfoDb (>=
1.1.3), GenomicRanges (>= 1.29.14), SummarizedExperiment,
Biostrings, Rsamtools (>= 1.17.28), GenomicAlignments (>=
1.1.16), BSgenome, VariantAnnotation (>= 1.11.4), rtracklayer
(>= 1.25.16), GenomicFeatures (>= 1.29.11), OrganismDbi,
GGally, ensembldb (>= 1.99.13), AnnotationDbi,
AnnotationFilter, rlang",NA,"vsn, BSgenome.Hsapiens.UCSC.hg19, Homo.sapiens,
TxDb.Hsapiens.UCSC.hg19.knownGene,
TxDb.Mmusculus.UCSC.mm9.knownGene, knitr, BiocStyle, testthat,
EnsDb.Hsapiens.v75, tinytex",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.0"
"ggforce","ggforce","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","0.4.1",NA,"ggplot2 (>= 3.3.6), R (>= 3.3.0)","Rcpp (>= 0.12.2), grid, scales, MASS, tweenr (>= 0.1.5),
gtable, rlang, polyclip, stats, grDevices, tidyselect, withr,
utils, lifecycle, cli, vctrs, systemfonts","Rcpp, RcppEigen","sessioninfo, concaveman, deldir, latex2exp, reshape2, units
(>= 0.4-6), covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"ggfun","ggfun","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","0.0.8",NA,NA,"ggplot2, grid, rlang, utils",NA,"ggplotify, knitr, rmarkdown, prettydoc, tidyr, ggnewscale",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.0"
"ggplot2","ggplot2","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","3.4.4",NA,"R (>= 3.3)","cli, glue, grDevices, grid, gtable (>= 0.1.1), isoband,
lifecycle (> 1.0.1), MASS, mgcv, rlang (>= 1.1.0), scales (>=
1.2.0), stats, tibble, vctrs (>= 0.5.0), withr (>= 2.5.0)",NA,"covr, dplyr, ggplot2movies, hexbin, Hmisc, knitr, lattice,
mapproj, maps, multcomp, munsell, nlme, profvis, quantreg,
ragg, RColorBrewer, rmarkdown, rpart, sf (>= 0.7-3), svglite
(>= 1.2.0.9001), testthat (>= 3.1.2), vdiffr (>= 1.0.0), xml2","sp","MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"ggplotify","ggplotify","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","0.1.0",NA,"R (>= 3.4.0)","ggplot2, graphics, grDevices, grid, gridGraphics, yulab.utils",NA,"aplot, colorspace, cowplot, ggimage, knitr, rmarkdown,
lattice, prettydoc, vcd, utils",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.0"
"ggraph","ggraph","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","2.1.0",NA,"R (>= 2.10), ggplot2 (>= 3.0.0)","Rcpp (>= 0.12.2), dplyr, ggforce (>= 0.3.1), grid, igraph (>=
1.0.0), scales, MASS, digest, gtable, ggrepel, utils, stats,
viridis, rlang, tidygraph, graphlayouts (>= 0.5.0), withr, cli,
vctrs, lifecycle","Rcpp","network, knitr, rmarkdown, purrr, tibble, seriation, deldir,
gganimate, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"ggrepel","ggrepel","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","0.9.2",NA,"R (>= 3.0.0), ggplot2 (>= 2.2.0)","grid, Rcpp, rlang (>= 0.3.0), scales (>= 0.5.0)","Rcpp","knitr, rmarkdown, testthat, svglite, vdiffr, gridExtra,
devtools, prettydoc, ggbeeswarm, dplyr, magrittr, readr,
stringr, withr",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"ggtree","ggtree","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","3.4.4",NA,"R (>= 3.5.0)","ape, aplot, dplyr, ggplot2 (>= 3.0.0), grid, magrittr,
methods, purrr, rlang, ggfun (>= 0.0.6), yulab.utils, tidyr,
tidytree (>= 0.3.9), treeio (>= 1.8.0), utils, scales",NA,"emojifont, ggimage, ggplotify, shadowtext, grDevices, knitr,
prettydoc, rmarkdown, stats, testthat, tibble, glue",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.0"
"ggvenn","ggvenn","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","0.1.9",NA,"dplyr, grid, ggplot2",NA,NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"globals","globals","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","0.16.1",NA,"R (>= 3.1.2)","codetools",NA,NA,NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.2.0"
"GO.db","GO.db","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","3.15.0",NA,"R (>= 2.7.0), methods, AnnotationDbi (>= 1.57.1)",NA,NA,"DBI",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.0"
"googledrive","googledrive","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","2.0.0",NA,"R (>= 3.3)","cli (>= 3.0.0), gargle (>= 1.2.0), glue (>= 1.4.2), httr,
jsonlite, lifecycle, magrittr, pillar, purrr (>= 0.2.3), rlang
(>= 0.4.9), tibble (>= 2.0.0), utils, uuid, vctrs (>= 0.3.0),
withr",NA,"covr, curl, downlit, dplyr (>= 1.0.0), knitr, mockr,
rmarkdown, roxygen2, sodium, spelling, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"googlesheets4","googlesheets4","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.0.1",NA,"R (>= 3.4)","cellranger, cli (>= 3.0.0), curl, gargle (>= 1.2.0), glue (>=
1.3.0), googledrive (>= 2.0.0), httr, ids, magrittr, methods,
purrr, rematch2, rlang (>= 1.0.2), tibble (>= 2.1.1), utils,
vctrs (>= 0.2.3)",NA,"covr, readr, rmarkdown, sodium, spelling, testthat (>=
3.1.3), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"GOSemSim","GOSemSim","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","2.22.0",NA,"R (>= 3.5.0)","AnnotationDbi, GO.db, methods, utils","Rcpp","AnnotationHub, BiocManager, clusterProfiler, DOSE, knitr,
rmarkdown, org.Hs.eg.db, prettydoc, testthat, ROCR",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.2.0"
"goseq","goseq","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.48.0",NA,"R (>= 2.11.0), BiasedUrn, geneLenDataBase (>= 1.9.2)","mgcv, graphics, stats, utils, AnnotationDbi,
GO.db,BiocGenerics",NA,"edgeR, org.Hs.eg.db, rtracklayer",NA,"LGPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"gplots","gplots","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","3.1.3",NA,"R (>= 3.0)","gtools, stats, caTools, KernSmooth, methods",NA,"grid, MASS, knitr, r2d2",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"graph","graph","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.74.0",NA,"R (>= 2.10), methods, BiocGenerics (>= 0.13.11)","stats, stats4, utils",NA,"SparseM (>= 0.36), XML, RBGL, RUnit, cluster","Rgraphviz","Artistic-2.0",NA,NA,NA,NA,"yes","4.2.0"
"graphite","graphite","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.42.0",NA,"R (>= 4.2), methods","AnnotationDbi, graph (>= 1.67.1), httr, rappdirs, stats,
utils, graphics, rlang",NA,"checkmate, a4Preproc, ALL, BiocStyle, clipper, codetools,
hgu133plus2.db, hgu95av2.db, impute, knitr, org.Hs.eg.db,
parallel, R.rsp, RCy3, rmarkdown, SPIA (>= 2.2), testthat,
topologyGSA (>= 1.4.0)",NA,"AGPL-3",NA,NA,NA,NA,"no","4.2.0"
"graphlayouts","graphlayouts","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","0.8.3",NA,"R (>= 3.2.0)","igraph, Rcpp","Rcpp, RcppArmadillo","oaqc, testthat, ggraph, ggplot2, knitr, rmarkdown, uwot",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"gridExtra","gridExtra","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","2.3",NA,NA,"gtable, grid, grDevices, graphics, utils",NA,"ggplot2, egg, lattice, knitr, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"gridGraphics","gridGraphics","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","0.5-1",NA,"grid, graphics","grDevices",NA,"magick (>= 1.3), pdftools (>= 1.6)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"GSEABase","GSEABase","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.58.0",NA,"R (>= 2.6.0), BiocGenerics (>= 0.13.8), Biobase (>= 2.17.8),
annotate (>= 1.45.3), methods, graph (>= 1.37.2)","AnnotationDbi, XML",NA,"hgu95av2.db, GO.db, org.Hs.eg.db, Rgraphviz, ReportingTools,
testthat, BiocStyle, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.0"
"gstat","gstat","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","2.1-0",NA,"R (>= 2.10)","utils, stats, graphics, methods, lattice, sp (>= 0.9-72), zoo,
sf (>= 0.7-2), sftime, spacetime (>= 1.2-8), stars, FNN",NA,"fields, maps, mapdata, maptools, rgdal (>= 0.5.2), rgeos,
xts, raster, future, future.apply",NA,"GPL (>= 2.0)",NA,NA,NA,NA,"yes","4.2.0"
